instance_name,node_label,dof,event_type,first_source_file,first_occurrence_line,first_context,physical_component_category,proposed_action
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,541,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,542,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,987,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,988,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1433,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1434,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1879,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1880,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,2331,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,2332,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
